resource_id,resource_name,audit_month,resource_type,environment,monthly_cost_eur,cost_trend,cpu_percent,memory_percent,request_volume,last_active_date,active_hours_per_day,deployment_age_days,duplicate_flag,owner_assigned
R001,prod-api-server-01,2024-10,EC2 Instance,production,320,stable,72,65,45200,2024-10-31,23.5,180,no,yes
R002,prod-api-server-01,2024-11,EC2 Instance,production,320,stable,74,67,46100,2024-11-30,23.5,210,no,yes
R003,prod-api-server-01,2024-12,EC2 Instance,production,325,rising,75,68,47000,2024-12-31,23.5,240,no,yes
R004,prod-api-server-01,2025-01,EC2 Instance,production,325,stable,74,67,46800,2025-01-31,23.5,270,no,yes
R005,prod-api-server-01,2025-02,EC2 Instance,production,330,rising,76,69,47900,2025-02-28,23.5,300,no,yes
R006,prod-api-server-01,2025-03,EC2 Instance,production,330,stable,75,68,47500,2025-03-31,23.5,330,no,yes
R007,dev-postgres-replica,2024-10,RDS Database,development,187,stable,3.2,8,0,2024-09-15,0.5,90,no,yes
R008,dev-postgres-replica,2024-11,RDS Database,development,187,stable,2.8,7,0,2024-09-15,0.3,120,no,yes
R009,dev-postgres-replica,2024-12,RDS Database,development,187,rising,2.1,6,0,2024-09-15,0.2,150,no,yes
R010,dev-postgres-replica,2025-01,RDS Database,development,192,rising,1.9,5,0,2024-09-15,0.1,180,no,yes
R011,dev-postgres-replica,2025-02,RDS Database,development,192,rising,1.5,5,0,2024-09-15,0.1,210,no,yes
R012,dev-postgres-replica,2025-03,RDS Database,development,195,rising,1.2,4,0,2024-09-15,0.0,240,no,yes
R013,staging-worker-01,2024-10,EC2 Instance,staging,95,stable,4.5,12,320,2024-10-28,3.2,200,yes,yes
R014,staging-worker-02,2024-10,EC2 Instance,staging,95,stable,4.2,11,290,2024-10-27,3.0,200,yes,yes
R015,staging-worker-03,2024-10,EC2 Instance,staging,95,stable,3.8,10,180,2024-10-20,2.1,200,yes,no
R016,staging-worker-01,2024-11,EC2 Instance,staging,95,stable,4.1,11,300,2024-11-25,3.0,230,yes,yes
R017,staging-worker-02,2024-11,EC2 Instance,staging,95,stable,3.9,10,270,2024-11-22,2.8,230,yes,yes
R018,staging-worker-03,2024-11,EC2 Instance,staging,95,rising,3.5,9,150,2024-11-10,1.8,230,yes,no
R019,staging-worker-01,2024-12,EC2 Instance,staging,95,stable,4.0,11,280,2024-12-20,2.9,260,yes,yes
R020,staging-worker-02,2024-12,EC2 Instance,staging,95,stable,3.8,10,260,2024-12-18,2.7,260,yes,yes
R021,staging-worker-03,2024-12,EC2 Instance,staging,95,rising,3.2,8,120,2024-12-05,1.5,260,yes,no
R022,staging-worker-01,2025-01,EC2 Instance,staging,95,stable,3.9,11,270,2025-01-22,2.8,290,yes,yes
R023,staging-worker-02,2025-01,EC2 Instance,staging,95,stable,3.7,10,250,2025-01-19,2.6,290,yes,yes
R024,staging-worker-03,2025-01,EC2 Instance,staging,95,rising,2.9,7,90,2025-01-08,1.2,290,yes,no
R025,staging-worker-01,2025-02,EC2 Instance,staging,0,resolved,0,0,0,2025-02-01,0.0,320,no,yes
R026,staging-worker-02,2025-02,EC2 Instance,staging,0,resolved,0,0,0,2025-02-01,0.0,320,no,yes
R027,staging-worker-03,2025-02,EC2 Instance,staging,0,resolved,0,0,0,2025-02-01,0.0,320,no,yes
R028,staging-worker-01,2025-03,EC2 Instance,staging,0,resolved,0,0,0,2025-02-01,0.0,350,no,yes
R029,staging-worker-02,2025-03,EC2 Instance,staging,0,resolved,0,0,0,2025-02-01,0.0,350,no,yes
R030,staging-worker-03,2025-03,EC2 Instance,staging,0,resolved,0,0,0,2025-02-01,0.0,350,no,yes
R031,dev-ml-training-box-01,2024-10,EC2 GPU Instance,development,480,rising,8.5,14,0,2024-10-02,22.0,45,no,no
R032,dev-ml-training-box-01,2024-11,EC2 GPU Instance,development,490,rising,7.2,12,0,2024-10-02,22.0,75,no,no
R033,dev-ml-training-box-01,2024-12,EC2 GPU Instance,development,510,rising,6.1,11,0,2024-10-02,22.0,105,no,no
R034,dev-ml-training-box-01,2025-01,EC2 GPU Instance,development,510,rising,5.8,10,0,2024-10-02,22.0,135,no,no
R035,dev-ml-training-box-01,2025-02,EC2 GPU Instance,development,520,rising,5.2,9,0,2024-10-02,22.0,165,no,no
R036,dev-ml-training-box-01,2025-03,EC2 GPU Instance,development,520,rising,4.9,9,0,2024-10-02,22.0,195,no,no
R037,dev-ml-training-box-02,2024-10,EC2 GPU Instance,development,465,rising,9.1,15,0,2024-10-05,22.0,40,no,no
R038,dev-ml-training-box-02,2024-11,EC2 GPU Instance,development,475,rising,8.3,13,0,2024-10-05,22.0,70,no,no
